Date,Open,High,Low,Close,Adj Close,Volume
2011-08-31,10640,10860,10540,10860,0.019591,1099500
2011-09-01,11000,11180,10820,11180,0.020169,798500
2011-09-02,11100,11160,10940,11160,0.020133,723050
2011-09-05,11300,11360,10700,10700,0.019303,1183050
2011-09-06,10700,10820,10600,10680,0.019267,1280050
2011-09-07,10680,11180,10680,11160,0.020133,1131100
2011-09-08,11300,11340,11080,11200,0.020205,1022850
2011-09-09,11180,11380,11100,11260,0.020313,983250
2011-09-14,11160,11360,10580,10680,0.019267,3020200
2011-09-15,10780,11000,10520,10980,0.019808,1341150
2011-09-16,11020,11100,10900,10920,0.0197,1548650
2011-09-19,10980,11000,10800,10920,0.0197,1437450
2011-09-20,10900,11240,10880,11180,0.020169,828750
2011-09-21,11200,11240,11140,11160,0.020133,293600
2011-09-22,10700,11080,10660,10880,0.019627,864150
2011-09-23,10700,10880,10260,10260,0.018509,1098650
2011-09-26,10320,10460,10120,10260,0.018509,1789700
2011-09-27,10440,10780,10400,10780,0.019447,725350
2011-09-28,10980,11480,10920,11380,0.020529,2064600
2011-09-29,11380,11500,11200,11440,0.020638,1383300
2011-09-30,11440,11440,11200,11420,0.020602,1095150
2011-10-04,11000,11560,10820,11560,0.020854,1907150
2011-10-05,11580,11820,11560,11660,0.021035,1637350
2011-10-06,11720,12080,11680,11980,0.021612,2402150
2011-10-07,12080,12100,11860,11960,0.021576,1385050
2011-10-10,11960,12100,11860,12020,0.021684,1216250
2011-10-11,12060,12060,11960,12000,0.021648,1037700
2011-10-12,11980,12080,11720,12060,0.021756,1224350
2011-10-13,11960,12300,11960,12200,0.022009,1639000
2011-10-14,12200,12280,11980,12200,0.022009,1075650
2011-10-17,12160,12280,11880,12100,0.021828,1125500
2011-10-18,11880,12000,11720,12000,0.021648,1511400
2011-10-19,12060,12060,11820,12020,0.021684,714150
2011-10-20,12000,12240,11920,12020,0.021684,2106000
2011-10-21,12120,12240,12020,12100,0.021828,956200
2011-10-24,12200,12360,12100,12240,0.022081,1503350
2011-10-25,12080,12240,12080,12220,0.022045,1261000
2011-10-26,12020,12160,11940,12020,0.021684,1425700
2011-10-27,11860,11980,11700,11980,0.021612,1471700
2011-10-28,11980,12500,11980,12500,0.02255,2023350
2011-10-31,12500,12800,12300,12800,0.023091,1647850
2011-11-01,12540,13100,12500,12840,0.023163,2427450
2011-11-02,12600,12760,12480,12620,0.022766,1595150
2011-11-03,12500,12600,12200,12340,0.022261,1609400
2011-11-04,12500,12860,12440,12800,0.023091,2614200
2011-11-07,12780,12980,12560,12720,0.022947,556700
2011-11-08,12620,12620,12220,12440,0.022442,910850
2011-11-09,12440,12860,12380,12860,0.023199,630600
2011-11-10,12400,12640,12400,12440,0.022442,1118250
2011-11-11,12520,12840,12420,12780,0.023055,1102800
2011-11-14,12780,13000,12700,12780,0.023055,715100
2011-11-15,12560,12680,12400,12400,0.022369,1333750
2011-11-16,12460,12620,12440,12580,0.022694,1487250
2011-11-17,12680,12680,12440,12600,0.02273,694400
2011-11-18,12340,12480,12100,12100,0.021828,1257500
2011-11-21,11920,12040,11820,11940,0.02154,854200
2011-11-22,11940,12160,11840,12140,0.0219,856050
2011-11-23,12040,12100,11580,11580,0.02089,1534250
2011-11-24,11580,11880,11520,11720,0.021143,1070500
2011-11-25,11560,11860,11560,11660,0.021035,761350
2011-11-28,11760,12260,11700,12040,0.02172,1546300
2011-11-29,12360,12600,12200,12580,0.022694,1326100
2011-11-30,12220,12600,12220,12340,0.022261,1576400
2011-12-01,12700,13000,12600,12740,0.022983,3498550
2011-12-02,13000,13080,12860,12920,0.023308,3352300
2011-12-05,13180,13180,12880,13080,0.023596,1311250
2011-12-06,13020,13160,12840,12880,0.023235,2564100
2011-12-07,13160,13240,12800,13200,0.023813,2122100
2011-12-08,13300,13880,13160,13700,0.024715,4134700
2011-12-09,13440,13600,13360,13440,0.024246,2053500
2011-12-12,13700,13800,13400,13720,0.024751,1966350
2011-12-13,13600,13680,13360,13360,0.024101,1447700
2011-12-14,13260,13320,12920,12940,0.023344,1841800
2011-12-15,12760,12980,12720,12900,0.023271,1033500
2011-12-16,12980,13020,12820,12980,0.023416,1961850
2011-12-19,12900,12980,12280,12560,0.022658,1376200
2011-12-20,12560,12560,12380,12560,0.022658,1571850
2011-12-21,12760,13060,12660,13060,0.02356,1656300
2011-12-22,12980,13180,12880,13100,0.023632,615050
2011-12-23,13160,13280,13100,13160,0.023741,710950
2011-12-26,13100,13180,13000,13080,0.023596,348350
2011-12-27,13140,13260,13040,13120,0.023668,798400
2011-12-28,13080,13200,13040,13120,0.038479,1079550
2011-12-29,13080,13380,13060,13340,0.039125,1272950
2012-01-02,13400,13480,13280,13460,0.039477,257350
2012-01-03,13520,13700,13480,13700,0.04018,1001000
2012-01-04,13740,13740,13460,13500,0.039594,1133950
2012-01-05,13460,13500,13220,13380,0.039242,1006750
2012-01-06,13400,13480,13060,13360,0.039183,1161000
